分區,汽車總數值（格）,機車總數值（格）,汽車路外總數值（格）,機車路外總數值（格）,汽車路邊總數值（格）,機車路邊總數值（格）
松山區,10213,5120,5292,1916,4921,3204
信義區,9948,8985,8120,4513,1828,4472
大安區,9445,11368,5428,543,4017,10825
中山區,12141,17573,7924,1867,4217,15706
中正區,3574,14637,576,353,2998,14284
大同區,5618,6070,3854,1710,1764,4360
萬華區,8955,7379,6762,3534,2193,3845
文山區,9936,3014,3692,1561,6244,1453
南港區,7232,4470,3157,1468,4075,3002
內湖區,11202,4691,4226,1475,6976,3216
士林區,10217,2652,5019,1323,5198,1329
北投區,7814,1253,3628,1253,4186,0
小計,106295,87212,57678,21516,48617,65696
